id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
871363809086161529,Condo in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,22340772,,Downtown,49.278935794451264,-123.12357223199443,Entire home/apt,177,3,33,2023-12-05,4.27,1,150,33,23-202412
871705313847044629,Rental unit in Vancouver · ★4.96 · 2 bedrooms · 3 beds · 1 bath,314341438,,Mount Pleasant,49.268053627671186,-123.10240436039973,Entire home/apt,77,2,48,2023-12-02,6.37,5,52,48,23-614852
871724366756435985,Home in Vancouver · ★4.52 · 3 bedrooms · 3 beds · 2 baths,510496832,,Kensington-Cedar Cottage,49.24299,-123.08975,Entire home/apt,180,2,29,2023-11-13,3.83,1,170,29,23-212323
872477656360128660,Home in Vancouver · ★4.95 · 3 bedrooms · 4 beds · 2 baths,167328182,,Hastings-Sunrise,49.28686029879047,-123.04812418325938,Entire home/apt,161,2,42,2023-12-12,5.48,3,129,42,23-187169
872490495087211518,Home in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1 bath,510671454,,Sunset,49.227438956961244,-123.09985836370603,Entire home/apt,145,2,18,2023-08-27,2.61,2,40,18,23-199773
872759139209238330,Guest suite in Vancouver · ★4.91 · 1 bedroom · 2 beds · 1 bath,50931826,,Grandview-Woodland,49.2741135,-123.065908,Entire home/apt,122,3,23,2023-11-13,3.0,1,171,23,23-158615
872779770188052552,Home in Vancouver · ★4.72 · 1 bedroom · 1 bed · 1 bath,22603103,,Grandview-Woodland,49.27049443470002,-123.06435601530151,Private room,95,1,29,2023-11-11,3.7,6,90,29,23-171463
873041376969359935,Home in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 private bath,495944342,,Renfrew-Collingwood,49.246212024658476,-123.05232734344112,Private room,70,1,25,2023-11-15,3.49,3,106,25,23-198325
874633861077921368,Guest suite in Vancouver · ★4.97 · 2 bedrooms · 4 beds · 1 bath,109874928,,Kensington-Cedar Cottage,49.24302096752914,-123.07182321845076,Entire home/apt,128,3,38,2023-11-27,5.7,1,59,38,23-213722
874865225757959266,Home in Vancouver · ★5.0 · 1 bedroom · 3 beds · 1 bath,511153154,,West Point Grey,49.2650144,-123.2125948,Entire home/apt,230,1,14,2023-08-25,1.83,1,40,14,23-205422
874897589530418206,Townhouse in Vancouver · ★4.63 · 1 bedroom · 1 bed · 1 private bath,245163861,,Kitsilano,49.25810680885002,-123.16972246050487,Private room,180,1,16,2023-10-06,2.64,1,99,16,23-214967
875527694416157019,Home in Vancouver · ★4.87 · 2 bedrooms · 2 beds · 1.5 baths,449217423,,Kensington-Cedar Cottage,49.24595255996018,-123.07985824671665,Entire home/apt,289,2,15,2023-10-25,2.18,3,271,15,23-157967
875555946638678827,Rental unit in Vancouver · ★4.91 · 2 bedrooms · 3 beds · 2 baths,190848569,,Downtown,49.27951186656971,-123.11908224125321,Entire home/apt,124,30,23,2023-10-20,3.25,1,100,23,23-216300
876124865050413306,Rental unit in Vancouver · ★4.50 · 1 bedroom · 1 bed · 1 bath,511408114,,Downtown,49.27861909455152,-123.12353145948705,Entire home/apt,111,2,14,2023-11-25,2.9,1,143,14,23-219985
876311009101705317,Rental unit in Vancouver · ★4.80 · Studio · 2 beds · 1 bath,511453456,,Downtown,49.27652757625113,-123.1315290786391,Entire home/apt,289,2,25,2023-10-13,3.32,1,172,25,22-157509
877701269137022002,Rental unit in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 bath,234877529,,Downtown,49.28073047875095,-123.12343789530124,Entire home/apt,136,2,26,2023-12-01,4.97,1,65,26,23-223081
877751497644643812,Rental unit in Vancouver · ★4.90 · 1 bedroom · 2 beds · 1 bath,18206208,,Downtown Eastside,49.279826993787175,-123.09784108148398,Entire home/apt,123,2,20,2023-11-19,2.7,1,35,20,23-209608
877924240375595477,Guesthouse in Vancouver · ★4.88 · 2 bedrooms · 3 beds · 1.5 baths,511816313,,Sunset,49.22891043137055,-123.10442060187542,Entire home/apt,181,2,26,2023-11-26,3.51,1,185,26,23-218346
879835287970438633,Rental unit in Vancouver · ★4.95 · 2 bedrooms · 3 beds · 2 baths,511136760,,Downtown,49.277650214537125,-123.1202385483027,Entire home/apt,230,22,19,2023-11-23,3.22,1,149,19,23-157005
880013120770708061,Rental unit in Vancouver · ★4.93 · 2 bedrooms · 2 beds · 1 bath,331178189,,Downtown Eastside,49.280750260702185,-123.108545624425,Entire home/apt,113,1,15,2023-11-26,2.24,1,355,15,23-156897
880023042137651461,Townhouse in Vancouver · ★4.17 · 3 bedrooms · 3 beds · 2.5 baths,74454535,,Hastings-Sunrise,49.26887,-123.047,Entire home/apt,351,2,12,2023-09-03,1.93,5,93,12,23-221505
